Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 10 6 2 2 10 0 
Pavarde2 Vardas2 3 4 2 9 6 10 
Pavarde3 Vardas3 2 2 6 7 9 1 
Pavarde4 Vardas4 6 5 10 9 8 8 
Pavarde5 Vardas5 2 6 9 9 2 4 
Pavarde6 Vardas6 9 10 3 6 9 8 
Pavarde7 Vardas7 0 1 5 10 7 7 
Pavarde8 Vardas8 5 2 8 4 1 7 
Pavarde9 Vardas9 7 10 7 9 2 4 
Pavarde10 Vardas10 7 5 8 8 2 2 
Pavarde11 Vardas11 4 1 6 6 7 2 
Pavarde12 Vardas12 4 2 2 6 9 0 
Pavarde13 Vardas13 4 0 0 1 10 6 
Pavarde14 Vardas14 8 8 10 8 10 1 
Pavarde15 Vardas15 7 6 9 5 2 9 
Pavarde16 Vardas16 6 8 4 5 10 4 
Pavarde17 Vardas17 9 6 7 4 5 7 
Pavarde18 Vardas18 7 2 1 8 8 4 
Pavarde19 Vardas19 6 5 0 8 0 8 
Pavarde20 Vardas20 9 2 4 8 10 7 
Pavarde21 Vardas21 10 2 6 1 4 6 
Pavarde22 Vardas22 6 4 5 0 4 2 
Pavarde23 Vardas23 1 9 7 10 3 7 
Pavarde24 Vardas24 5 2 5 4 0 0 
Pavarde25 Vardas25 5 4 10 10 8 1 
Pavarde26 Vardas26 3 8 2 3 5 7 
Pavarde27 Vardas27 0 8 4 0 5 9 
Pavarde28 Vardas28 1 3 2 10 10 9 
Pavarde29 Vardas29 5 10 6 5 7 3 
Pavarde30 Vardas30 3 5 9 2 2 0 
Pavarde31 Vardas31 8 6 2 8 4 9 
Pavarde32 Vardas32 6 10 5 9 10 6 
Pavarde33 Vardas33 8 9 3 7 2 8 
Pavarde34 Vardas34 0 7 4 9 8 0 
Pavarde35 Vardas35 10 10 4 2 1 0 
Pavarde36 Vardas36 10 4 1 5 6 2 
Pavarde37 Vardas37 10 0 8 1 4 5 
Pavarde38 Vardas38 5 2 5 10 1 0 
Pavarde39 Vardas39 6 8 3 5 9 3 
Pavarde40 Vardas40 8 9 5 8 7 10 
Pavarde41 Vardas41 7 8 9 9 1 3 
Pavarde42 Vardas42 6 0 7 10 0 10 
Pavarde43 Vardas43 5 10 5 2 4 3 
Pavarde44 Vardas44 7 2 8 10 4 2 
Pavarde45 Vardas45 7 9 0 9 5 0 
Pavarde46 Vardas46 3 0 10 9 10 9 
Pavarde47 Vardas47 5 10 8 6 10 10 
Pavarde48 Vardas48 10 3 4 4 10 8 
Pavarde49 Vardas49 0 3 9 7 5 2 
Pavarde50 Vardas50 4 7 0 7 1 7 
Pavarde51 Vardas51 3 7 2 10 5 7 
Pavarde52 Vardas52 5 3 9 1 10 9 
Pavarde53 Vardas53 9 9 3 9 9 4 
Pavarde54 Vardas54 9 9 7 4 6 3 
Pavarde55 Vardas55 5 1 1 10 7 9 
Pavarde56 Vardas56 0 2 1 2 4 9 
Pavarde57 Vardas57 8 9 3 9 10 2 
Pavarde58 Vardas58 5 2 0 4 2 7 
Pavarde59 Vardas59 0 8 0 10 7 5 
Pavarde60 Vardas60 2 7 5 0 7 8 
Pavarde61 Vardas61 3 0 2 2 6 2 
Pavarde62 Vardas62 5 6 8 3 3 0 
Pavarde63 Vardas63 6 4 7 6 8 7 
Pavarde64 Vardas64 3 1 8 2 0 7 
Pavarde65 Vardas65 5 5 6 4 4 0 
Pavarde66 Vardas66 9 10 6 9 1 4 
Pavarde67 Vardas67 2 5 0 9 9 3 
Pavarde68 Vardas68 10 5 10 7 6 1 
Pavarde69 Vardas69 7 0 2 4 2 2 
Pavarde70 Vardas70 4 5 8 7 6 1 
Pavarde71 Vardas71 3 6 10 4 4 2 
Pavarde72 Vardas72 10 6 7 9 6 5 
Pavarde73 Vardas73 2 10 0 9 9 5 
Pavarde74 Vardas74 3 6 3 0 4 6 
Pavarde75 Vardas75 7 10 4 1 1 6 
Pavarde76 Vardas76 8 3 4 3 7 7 
Pavarde77 Vardas77 8 2 0 1 7 9 
Pavarde78 Vardas78 2 2 9 0 5 5 
Pavarde79 Vardas79 6 3 8 5 7 2 
Pavarde80 Vardas80 2 9 2 2 3 8 
Pavarde81 Vardas81 5 8 7 4 7 3 
Pavarde82 Vardas82 0 9 6 3 1 0 
Pavarde83 Vardas83 10 8 2 8 7 1 
Pavarde84 Vardas84 9 1 3 10 5 3 
Pavarde85 Vardas85 4 9 5 5 4 6 
Pavarde86 Vardas86 0 3 5 2 6 1 
Pavarde87 Vardas87 5 6 2 1 3 10 
Pavarde88 Vardas88 1 7 7 5 2 10 
Pavarde89 Vardas89 10 4 9 0 4 2 
Pavarde90 Vardas90 0 2 6 8 7 4 
Pavarde91 Vardas91 7 3 5 7 3 10 
Pavarde92 Vardas92 10 7 3 5 2 8 
Pavarde93 Vardas93 8 10 6 8 7 6 
Pavarde94 Vardas94 3 4 10 0 5 8 
Pavarde95 Vardas95 3 5 8 0 1 7 
Pavarde96 Vardas96 0 8 6 5 4 7 
Pavarde97 Vardas97 8 3 3 7 4 6 
Pavarde98 Vardas98 8 9 7 4 0 7 
Pavarde99 Vardas99 3 6 10 7 9 4 
Pavarde100 Vardas100 3 7 6 2 10 9 
Pavarde101 Vardas101 2 10 7 5 10 10 
Pavarde102 Vardas102 2 4 4 8 1 5 
Pavarde103 Vardas103 7 10 7 4 1 3 
Pavarde104 Vardas104 8 0 6 6 7 1 
Pavarde105 Vardas105 4 0 0 1 7 0 
Pavarde106 Vardas106 5 1 0 6 9 7 
Pavarde107 Vardas107 3 10 5 4 0 3 
Pavarde108 Vardas108 6 3 6 1 0 9 
Pavarde109 Vardas109 10 3 0 3 9 2 
Pavarde110 Vardas110 8 10 10 1 10 6 
Pavarde111 Vardas111 5 7 5 0 1 5 
Pavarde112 Vardas112 0 2 6 7 3 8 
Pavarde113 Vardas113 4 8 5 8 8 7 
Pavarde114 Vardas114 6 7 5 0 7 10 
Pavarde115 Vardas115 5 2 3 1 2 5 
Pavarde116 Vardas116 3 3 7 6 5 0 
Pavarde117 Vardas117 5 0 4 1 9 1 
